prediction	target	loss	dist
alanguois	alanguissais	1.013241171836853	4
alanguoit	alanguissait	1.043186068534851	4
jüeriiens	jugerions	1.0700511932373047	4
jujoie	jugeais	1.5043154954910278	4
enrecomparant	enrecomparaissant	0.5007303357124329	4
recompararit	recomparaissait	0.45072823762893677	4
recompararismes	recomparûmes	1.4823212623596191	4
alanguant	alanguissant	0.9348374605178833	3
alanguent	alanguissent	0.7679542899131775	3
contreplide	contreplet	0.7646084427833557	3
contrepledes	contreplez	0.6482390761375427	3
contrepledassiez	contrepledissoiz	0.6650484800338745	3
jüeriiez	jugeriez	1.2210851907730103	3
jüeroit	jugerait	1.191712498664856	3
jujoient	jugeaient	1.1910256147384644	3
jujames	jugeâmes	1.3140504360198975	3
enouçant	enouïssant	0.8501232266426086	3
ourez	ouïssez	1.1609983444213867	3
ourent	ouïssent	0.8350843787193298	3
ouçait	ouïssait	0.9951823353767395	3
ourions	ouïssions	1.137377142906189	3
oures	ouïsses	0.7323867082595825	3
recompararis	recomparus	0.7162800431251526	3
recompararit	recomparurent	0.3705245852470398	3
recompararier	recomparaitre	0.7595532536506653	3
recompararisse	recomparusse	0.5475230813026428	3
recompararissent	recomparussent	0.5678412914276123	3
recompararit	recomparût	1.193250060081482	3
tunissoiz	tunassiez	0.7444489002227783	3
acoustrâmes	acoustrasmes	0.5417827367782593	2
acoustrât	acoustrast	0.6256917715072632	2
alangue	alanguit	0.811492919921875	2
alanguasmes	alanguîmes	0.6665868163108826	2
alangua	alanguis	1.0346626043319702	2
alanguastes	alanguîtes	0.6614797115325928	2
broicherais	broicheroie	1.2345856428146362	2
broichais	broichoie	1.4848148822784424	2
broichais	broichoies	1.3456193208694458	2
broichassions	broichissons	0.8722959160804749	2
contrepledions	contreplediiens	0.472671240568161	2
contrepledâtes	contrepledastes	0.31615737080574036	2
contreplede	contreplet	0.650291383266449	2
culchassions	culchissons	0.6598416566848755	2
desregleroiz	desreglerez	0.6441158056259155	2
desreilles	desregles	0.6008338928222656	2
jüerai	jugerai	0.5976809859275818	2
jüeras	jugeras	0.6434284448623657	2
jüeront	jugeront	0.569501519203186	2
jüera	jugera	0.6903500556945801	2
jüe	juge	1.1218711137771606	2
jugiiens	jugions	0.8851475119590759	2
juja	jugea	1.7074241638183594	2
jujons	jugions	1.470060110092163	2
jujassent	jugeassent	0.648776650428772	2
mendieriiens	mendierions	0.40751561522483826	2
mendieroies	mendierais	0.6212068200111389	2
mendieroiz	mendierez	0.3897821307182312	2
mendioies	mendiais	0.8602264523506165	2
mendissons	mendiassions	0.5605708360671997	2
mendiast	mendiât	0.8814806342124939	2
ouririons	ouïrions	0.6568167209625244	2
ourirais	ouïrais	0.7987011075019836	2
ourirais	ouïrais	0.7933541536331177	2
ourirait	ouïrait	0.8121810555458069	2
ourirai	ouïrai	0.8529439568519592	2
ouriras	ouïras	0.8417750000953674	2
ouriront	ouïront	0.791585385799408	2
ourira	ouïra	0.9902117848396301	2
oure	ouïs	1.1101878881454468	2
ouça	ouïs	1.1486928462982178	2
ouças	ouïs	1.0714452266693115	2
ouçassions	ouïssions	0.8746412992477417	2
ouçassiez	ouïssiez	0.9013859629631042	2
ouçasses	ouïsses	0.7166326642036438	2
prélevissons	prélevassions	0.29767346382141113	2
recomparariterais	recomparaitrais	0.788284420967102	2
recomparariteriez	recomparaitriez	0.797656774520874	2
recomparariteraient	recomparaitraient	0.7244303226470947	2
recomparariteront	recomparaitront	0.8199995756149292	2
recompararitera	recomparaitra	0.9257338643074036	2
recompararite	recomparait	1.0611358880996704	2
recompararisiez	recomparaissiez	0.7390905618667603	2
recompararise	recomparaisse	0.5388599634170532	2
recompararises	recomparaisses	0.5534473061561584	2
reteignu	reteint	1.0780962705612183	2
reteindriiens	reteindrions	0.4813799262046814	2
reteindroie	reteindrais	0.5385358929634094	2
tunoies	tunais	1.0669004917144775	2
émustililé	émoustillé	0.5357270240783691	2
émûstillâmes	émoustillâmes	0.5196242928504944	2
émustililai	émoustillai	0.49003133177757263	2
émûstillâtes	émoustillâtes	0.542007565498352	2
émustililèrent	émoustillèrent	0.4002465307712555	2
émustilila	émoustilla	0.6203152537345886	2
émustililasse	émoustillasse	0.5271819233894348	2
acoustrerait	acoustreroit	0.484914094209671	1
acoustrai	acoustra	0.544387936592102	1
acoustriez	acoustrez	0.7205122709274292	1
alanguisons	alanguissons	0.27871665358543396	1
alanguisez	alanguissez	0.35723915696144104	1
alanguisiez	alanguissiez	0.13550573587417603	1
alanguassions	alanguissions	0.2808229625225067	1
broichiez	broichiiez	0.7031018733978271	1
broichâmes	broichames	1.175045132637024	1
broichions	broichons	0.7368268370628357	1
contreplederaient	contreplederoient	0.3536006212234497	1
contrepled	contreplede	0.14097250998020172	1
contreplediez	contreplediiez	0.49046626687049866	1
contrepledâmes	contrepledames	0.30049458146095276	1
